"Gene.name","baseMean","log2FoldChange","pvalue","padj","Control_1","Control_2","Activated_1","Activated_2"
"Chadl",1.38894602434645,-0.805966127667486,0.792111662749491,NA,0,3.501,2.055,0
"Olfml2a",1.38894602434645,-0.805966127667486,0.792111662749491,NA,0,3.501,2.055,0
"Pask",33.8327780683188,-0.806221501349125,0.193540010968169,0.376412735873999,26.344,59.516,26.713,22.758
"Lman2l",107.673221680849,-0.806451448112896,0.0203930914652346,0.0723847836968828,148.903,125.159,88.358,68.273
"Sip1",36.3002489684695,-0.806475504190534,0.157719630694755,0.328193768597056,38.944,53.39,21.576,31.292
"Tg",29.3640071231068,-0.80649062504793,0.200228064008538,0.38506490633845,34.362,40.261,26.713,16.12
"Cars2",121.907484600554,-0.806849309024991,0.011543243212409,0.0463140569333433,150.048,160.169,87.33,90.083
"Ears2",27.9706478184024,-0.806940840010572,0.20789101487124,0.394825274211105,42.38,28.883,22.603,18.017
"Rbm43",165.834035146201,-0.807045612128969,0.00592273150496003,0.0270379057704307,201.592,220.56,102.741,138.443
"Gm15708",63.1475677254256,-0.807213231749089,0.0615281264067137,0.168871090287289,88.196,72.645,46.234,45.515
"Ldlrap1",37.7919111536897,-0.807429014833201,0.141430995409432,0.304052782947089,48.107,48.138,23.631,31.292
"Zfp11",40.7884753652039,-0.807455869763454,0.13556266328905,0.295601918560845,42.38,61.267,33.905,25.602
"Etaa1",120.917098863659,-0.808013241671168,0.0176496331429048,0.0646814870896779,127.14,180.299,96.577,79.652
"1810011H11Rik",62.2898556268795,-0.809218773386088,0.0858901829166165,0.213947356085716,101.941,56.891,52.398,37.93
"1700066M21Rik",44.5539467375267,-0.809231811637563,0.113454057271239,0.260115937019966,50.398,63.017,28.768,36.033
"Csrp2bp",206.268215475621,-0.809237978529885,0.00174298681596679,0.00966808816045482,276.043,249.443,146.92,152.666
"Fam98c",46.2129230051313,-0.809433832011463,0.110226300878226,0.25558251656974,49.253,68.269,36.987,30.344
"Mras",18.3243941781873,-0.809584153797599,0.297594595935288,0.50013066363124,27.49,19.255,12.329,14.224
"Klf9",23.3595732405792,-0.810021661647993,0.268899075544154,0.466599981638606,41.235,18.38,20.548,13.275
"Tlcd2",12.1189412542703,-0.810383170952936,0.410730757589191,NA,8.018,22.756,8.219,9.482
