"Gene.name","baseMean","log2FoldChange","pvalue","padj","Control_1","Control_2","Activated_1","Activated_2"
"Tspan17",12.784960201392,-0.243303682128483,0.792251686877802,NA,13.745,14.004,8.219,15.172
"Rogdi",4254.58504395367,-0.243345619198408,0.0756397016392705,0.195422105379971,4358.274,4866.33,3693.552,4100.184
"Cib1",103.909762312719,-0.243378374650672,0.486490426628778,0.678094543446932,113.395,112.031,81.166,109.047
"Zmym2",1201.11868817478,-0.243428166016486,0.119783501371547,0.270111296910484,1288.583,1315.485,1175.361,1025.046
"Cgrrf1",22.373680352436,-0.243437191133687,0.73307513552719,0.85163985991413,24.054,24.507,14.384,26.551
"Crebzf",433.425582859113,-0.243510102698968,0.224225600259644,0.41444052680647,493.67,446.372,418.157,375.503
"Kif18a",92.9310234560102,-0.243551599764822,0.534944847369978,0.714991544724287,76.742,124.284,98.632,72.066
"Prkar2b",186.060666422635,-0.243611760730393,0.362553850115331,0.568279120908879,208.464,195.178,162.331,178.269
"Prmt3",263.647584411191,-0.243675915851131,0.295805982608056,0.498477898203421,294.37,277.451,247.607,235.163
"Ergic3",274.192055041724,-0.243728174006988,0.300358122869525,0.503525153984149,290.933,303.708,228.086,274.041
"Hist2h2bb",22.0527571779411,-0.243870904961082,0.728529376569372,0.849140521552391,20.617,27.132,20.548,19.913
"Zbtb39",185.646657081529,-0.243959778930223,0.388643455923015,0.593560331193557,168.375,233.689,173.633,166.89
"Gtf2h4",40.0407326665537,-0.244030780846705,0.646892187211565,0.79537208134875,41.235,45.512,42.124,31.292
"Ppp4r1l-ps",65.1698257617373,-0.244059521745133,0.588926294531616,0.754118031756619,88.196,53.39,68.837,50.257
"1700102P08Rik",9.19223187988554,-0.24410140156362,0.81887550467691,NA,10.309,9.628,9.247,7.586
"Ccbe1",9.19223187988554,-0.24410140156362,0.81887550467691,NA,10.309,9.628,9.247,7.586
"0610038L08Rik",18.4600288564346,-0.244133301434426,0.754452286809499,0.864225613091604,17.181,22.756,21.576,12.327
"Mrps5",45.5646711282692,-0.244239186855596,0.629128114457576,0.782262664032002,51.543,47.263,49.316,34.137
"Irgm2",496.79556166446,-0.244331057050137,0.239045862830859,0.434015949546046,473.053,603.915,417.13,493.084
"Tigd2",95.7648184785511,-0.244535346032174,0.487946319371865,0.679104571311044,105.377,102.403,84.248,91.031
"Tnxb",8.5932553349631,-0.244542746609615,0.828019299016689,NA,12.599,6.127,6.164,9.482
"2310009B15Rik",17.6072059573114,-0.244842872447746,0.757070229075707,0.865930578195652,17.181,21.006,12.329,19.913
"Hist1h3e",78.0351026244973,-0.245024508254134,0.527195768649806,0.709120693461968,79.033,90.15,70.892,72.066
"Snapc3",239.22238290295,-0.245124821761883,0.362269837098436,0.567970974751091,242.826,275.7,261.99,176.372
"Lix1l",34.0406658410046,-0.245244245975597,0.683437875515295,0.820140878003104,30.926,42.887,21.576,40.774
"Itfg1",480.020042502882,-0.245442521799514,0.201015900342159,0.386031775998336,495.961,545.274,428.431,450.413
"Cnpy2",146.076846834769,-0.24551251658097,0.435401915857557,0.636033924517888,140.885,175.923,111.988,155.511
"Dync2h1",119.154560816483,-0.245516009978832,0.455129678606457,0.653419755262685,115.686,142.664,100.687,117.582
"Xk",21.7120402675775,-0.245693025215178,0.739576304981316,0.856056214538155,17.181,29.758,25.685,14.224
"Paqr3",25.2292034924203,-0.245738543056071,0.709326568149807,0.836628761541632,24.054,30.633,21.576,24.654
"Coq3",61.5220026481289,-0.245752531137298,0.58031477566138,0.748355559609516,65.288,68.269,45.206,67.325
"1700021F05Rik",24.9354313821356,-0.245764792018443,0.714935608175596,0.840740061155692,33.217,21.006,24.658,20.861
"Hist1h2bn",56.6972779934262,-0.245863505410584,0.617612879534117,0.775018550058206,41.235,81.397,59.59,44.567
"Zfp148",784.742672284842,-0.245896721566878,0.141209185492191,0.303801883447341,875.091,827.976,741.793,694.111
"Ankrd28",137.666412902555,-0.246256303352147,0.422095382240467,0.62406977969305,137.449,161.044,134.591,117.582
"Rassf1",131.118389328174,-0.246515809774497,0.42245792101854,0.624252757442831,145.467,139.163,122.262,117.582
"Mthfr",98.0507888037442,-0.246519429842927,0.514012020474508,0.699551060066973,80.178,132.161,94.522,85.341
"Armc1",260.684662582203,-0.246610730777603,0.321358639684734,0.525502141676191,255.426,309.835,265.073,212.405
"Wfikkn1",13.0190128197241,-0.246783846387409,0.785311392001086,NA,16.036,12.253,13.356,10.431
"Gfra2",115.756297641571,-0.246973506642181,0.451386258126044,0.649816257047101,114.541,136.537,104.796,107.151
"Btrc",198.753481525681,-0.247360225195763,0.375500283037799,0.580989289418796,179.829,251.194,170.551,193.441
"Irf2bp2",5275.92325737813,-0.247425168992925,0.134627449724618,0.294095414976161,6713.231,4742.921,4727.13,4920.411
"Gfer",45.3783667435626,-0.247614158501268,0.617529942496169,0.775018550058206,50.398,48.138,43.151,39.826
"Usp21",115.315808618317,-0.24769471223427,0.445436246117772,0.64467746883017,122.559,127.785,103.769,107.151
"Cenpq",93.0088668018291,-0.247871209506295,0.493438996284536,0.683034071907792,111.104,91.025,88.358,81.549
"Tiprl",339.77100696681,-0.24807998433146,0.261318404870486,0.459854171533784,406.62,331.716,315.416,305.333
"Nup43",45.9732682924734,-0.248368660687382,0.627147560469002,0.780727858863642,44.671,55.14,32.877,51.205
"Eif4a2",4390.49913502239,-0.248453124966108,0.107579842654236,0.251383182802705,5304.38,4231.781,4330.549,3695.286
"2310047M10Rik",77.2972316441471,-0.248630071054762,0.526165298228554,0.708084081857006,92.778,75.271,71.919,69.221
"Fermt3",884.942509252755,-0.248655788959283,0.131836867161758,0.289634715466096,973.596,948.759,759.259,858.156
"Tmem223",77.7424722321054,-0.248716875155542,0.546593638619668,0.723539035563106,65.288,103.278,63.7,78.704
"Gm3086",9.77141468893922,-0.248754218784509,0.813416813662915,NA,8.018,13.129,11.302,6.638
"Osbpl3",278.608854352716,-0.248870206465694,0.28436763057385,0.48505031365242,278.334,326.464,251.716,257.921
"Gm9897",11.8452667461059,-0.248893644605404,0.791678500252642,NA,12.599,13.129,10.274,11.379
"Alg1",32.8472528963714,-0.249031749021133,0.686671951224102,0.822196351800782,38.944,32.384,41.097,18.965
"Trmt5",74.0540467937203,-0.24932882967063,0.530305464332625,0.711254066499359,76.742,84.023,71.919,63.532
"D430020J02Rik",61.7609336960191,-0.24933846508982,0.572421097313202,0.742589716436488,59.561,74.395,64.727,48.36
"Rreb1",720.674791773119,-0.249523830105858,0.139375956018893,0.301489563009718,770.859,794.717,652.408,664.715
"Capn7",658.120009503093,-0.24961588781107,0.16074355572602,0.332823956265287,667.772,761.458,614.393,588.856
"Nfs1",107.587611940377,-0.24969410053277,0.478172287735249,0.672907299692901,114.541,119.033,117.125,79.652
"Bcl9",424.751361855484,-0.249804851341129,0.212295507360788,0.40003430705156,489.089,434.119,395.554,380.244
"Map3k12",89.2141153557588,-0.250013897778729,0.515600954927091,0.700113455092151,109.959,84.023,95.549,67.325
"Efcab4b",20.5970096027375,-0.250036515829821,0.740806838674951,0.856390190889255,30.926,14.004,18.493,18.965
"Capn3",8.70038477619476,-0.250298902541155,0.824290948500698,NA,13.745,5.251,8.219,7.586
"Trim59",182.553535326345,-0.250306838567389,0.359922232586543,0.565102286136206,197.01,199.555,182.88,150.77
"Nsl1",131.232807499603,-0.250458024342561,0.48515127507271,0.677235933465249,104.232,180.299,141.783,98.617
"Napg",409.096766641343,-0.250595469673694,0.215615003903479,0.404656354206798,455.872,433.243,394.527,352.745
"Lmf1",87.9093711090286,-0.25067043935711,0.496656571615154,0.685708317106032,101.941,89.274,76.029,84.393
"Nacad",8.57346159909434,-0.250683836561968,0.825624482617554,NA,12.599,6.127,5.137,10.431
"Atxn7",972.298406176716,-0.25079312844961,0.158451739170892,0.32927444665994,1149.989,963.638,978.098,797.469
"Fam57a",15.4695594121804,-0.250797413300006,0.773770571993957,NA,20.617,13.129,8.219,19.913
"Polr1e",85.153958366281,-0.250831580200539,0.524690496795494,0.706873790795372,79.033,105.904,63.7,91.979
"Arhgef12",204.147024598203,-0.250844819549843,0.361953101801488,0.567608273279607,191.283,252.069,167.468,205.768
"Sdccag8",594.241022348184,-0.251083986988583,0.159600197589009,0.330899318752486,628.828,662.556,551.721,533.858
"Mapk11",171.350580078429,-0.251389791095677,0.371792549979993,0.577750101084385,191.283,181.175,172.605,140.339
"Nedd4",2653.53906179729,-0.251888184409207,0.0708220066425947,0.186022548935678,2707.742,3060.711,2389.764,2455.938
"Bcr",122.848335416861,-0.251895387895473,0.495651315418935,0.684904811775728,174.102,93.651,96.577,127.064
"Ttc15",387.282147847611,-0.252176615823992,0.216746977715749,0.405757816069733,435.255,406.986,362.677,344.211
"Zfp322a",176.870908693333,-0.252358454002747,0.365194766418473,0.570513052775788,198.155,186.426,178.77,144.132
"Pkdcc",10.2750324013293,-0.252592970619242,0.803556032202374,NA,9.163,13.129,10.274,8.534
"Pomgnt1",78.253912422037,-0.252614949833592,0.514291954657836,0.699563629433492,79.033,91.025,70.892,72.066
"Tsnax",326.416779989928,-0.25301503124938,0.260613512264874,0.459135823445337,373.403,336.967,268.155,327.142
"Hccs",280.678890726813,-0.253220491484047,0.34725335276351,0.552649993163832,380.275,231.063,261.99,249.387
"Alg14",29.127939682111,-0.25323723660415,0.68872355476084,0.8236853906739,22.908,40.261,27.74,25.602
"Ttll4",168.574707800985,-0.253350124934777,0.359365468613946,0.564612925525,185.556,181.175,152.057,155.511
"Acaa1a",201.779199781123,-0.253458519557743,0.327140579533543,0.531401094330015,213.046,225.812,176.715,191.544
"Arpc5l",381.872368640986,-0.253933993269418,0.224683048106647,0.415063820642165,444.418,386.856,334.937,361.279
"Asprv1",108.78671751798,-0.253959282402182,0.514838811372075,0.699792147162956,81.324,154.917,83.221,115.685
"Fanca",57.8909554376316,-0.253980781764036,0.580546570089437,0.748355559609516,50.398,75.271,57.535,48.36
"Gtf3c3",170.043029418434,-0.254091621970371,0.365092602551725,0.570467065259316,168.375,201.305,153.085,157.408
"Grpel2",119.734145759828,-0.254182984696157,0.428807260076018,0.629184484410606,136.303,124.284,114.043,104.306
"Gemin5",181.396449060849,-0.254210839314381,0.348625735710666,0.554250454205114,184.411,210.057,162.331,168.786
"Ppa2",129.947191189914,-0.25458772732035,0.439696971190128,0.639446541670379,113.395,168.921,116.098,121.375
"1810048J11Rik",63.3708931472516,-0.254605338142363,0.549017695265049,0.724863947934951,68.724,69.144,60.617,54.998
"Mef2a",833.413528843006,-0.254825438769366,0.147936453620827,0.313811786749889,947.252,866.487,835.287,684.628
"Tmem135",292.484639037756,-0.255159116135412,0.27209252118029,0.470558474129323,343.622,293.205,285.621,247.49
"Wdr6",56.0317005472746,-0.255248354040326,0.613820277937785,0.772750153503779,36.653,84.898,51.371,51.205
"Sfrs18",1927.20616242777,-0.255418002332244,0.140781956262702,0.303621527412672,2301.123,1894.018,1999.347,1514.337
"Calcoco1",106.209115696939,-0.255687306927187,0.528738712748916,0.709967051907453,147.758,84.023,68.837,124.219
"Fam60a",392.376110520321,-0.25571521062797,0.251716778783346,0.448937745235428,359.658,493.635,360.622,355.59
"Erbb3",14.0064545086355,-0.255978614371288,0.771987973864699,NA,18.327,12.253,10.274,15.172
"Ccm2",365.829911066776,-0.256161064006077,0.22000314967105,0.409907494778751,412.347,384.23,346.238,320.505
"Tmem164",294.540177361293,-0.25619047694402,0.251682858045328,0.448937745235428,313.842,327.339,261.99,274.989
"Ifit3",238.071935921922,-0.256454055908198,0.303293819502109,0.506159136793549,277.189,241.566,199.318,234.215
"Hist1h1e",1459.34617409242,-0.256735803662239,0.588804396744477,0.754051073405003,2100.677,1077.419,1260.637,1398.652
"9530027J09Rik",7.07879235098133,-0.256761584792174,0.83416168067001,NA,5.727,9.628,8.219,4.741
"Msl3",195.122170650646,-0.256971591215197,0.32849634741327,0.532724690348496,205.028,219.685,186.989,168.786
"Ormdl3",54.3015094484549,-0.257216687623501,0.581385900506755,0.748977697727396,56.125,62.142,41.097,57.843
"Calm2",1927.14568860339,-0.257322236252817,0.103105533912237,0.24395503711901,2274.778,1922.901,1901.743,1609.161
"Zfp954",53.6423482623797,-0.257327955390895,0.608625573243689,0.769249893238698,69.87,47.263,33.905,63.532
"Plxnb2",1050.14835978201,-0.257375538697178,0.112382842721072,0.258755225334193,1140.825,1146.563,881.521,1031.684
"Pigc",124.275531732054,-0.257476027689197,0.414358790391144,0.617122045711479,130.576,140.038,108.906,117.582
"Tmem206",433.689489738296,-0.257519379605784,0.207719326555585,0.394668009907537,510.852,434.119,417.13,372.658
"Robo1",3.30336949157966,-0.257558035578235,0.883636336341724,NA,4.582,2.626,4.11,1.896
"A730011L01Rik",141.402999478721,-0.257756900808041,0.413785648479211,0.61658045804337,144.321,163.67,106.851,150.77
"Aimp2",78.5790482272619,-0.257771410511897,0.504919731279252,0.692292586528554,91.633,79.647,71.919,71.118
"Pop4",97.8313878271854,-0.257971514166074,0.484193705220729,0.676721766050337,125.995,87.524,80.138,97.669
"Slc35e4",6.47981580605889,-0.258063800464983,0.838224685515775,NA,8.018,6.127,5.137,6.638
"Cd3d",13.6613243179139,-0.25808653155543,0.783673299408646,NA,22.908,7.002,13.356,11.379
"4933421E11Rik",194.245605884496,-0.258098550317973,0.32651031445094,0.530775245565281,213.046,210.057,186.989,166.89
"Syn3",62.470121364875,-0.258256200788986,0.566328280837753,0.73782733208844,84.76,51.639,57.535,55.946
"Pfas",174.39428973965,-0.258268730011305,0.35758007180481,0.563114539593183,180.974,198.679,175.688,142.236
"Bmp2k",2407.90040535805,-0.258526958304768,0.0965291894161893,0.232791787387707,2310.286,2934.677,2142.157,2244.481
"Mocs1",92.6658193972654,-0.258649000263731,0.485024273824788,0.677183652319104,87.051,114.656,76.029,92.927
"Luc7l",642.551969770568,-0.258734045378824,0.150397021955908,0.317619823404287,750.242,650.303,596.927,572.736
"Kcnab2",100.457736778396,-0.258737032757785,0.456647593605437,0.654869109276266,115.686,103.278,96.577,86.29
"Cav2",8.1058215116303,-0.258846804647552,0.819165456317822,NA,8.018,9.628,7.192,7.586
"B330016D10Rik",9.8345433780754,-0.259089554675993,0.813363369763179,NA,17.181,4.376,9.247,8.534
"Klrk1",145.353220613702,-0.259410909857941,0.378215182141075,0.583647445603171,159.212,157.543,136.646,128.012
"F13a1",12.4875782442958,-0.25986595779192,0.785568719333543,NA,19.472,7.877,10.274,12.327
"Tbc1d23",297.904133628316,-0.259869020860084,0.244196974692116,0.43950586922075,329.877,319.462,281.511,260.766
"Hspa14",272.118009191629,-0.25990590475959,0.29402658786124,0.496412720308193,334.459,259.071,270.21,224.733
"Eefsec",81.7760917111564,-0.260091885363353,0.492855628561477,0.682516790001003,83.615,94.526,75.001,73.963
"Chchd5",61.9871008219002,-0.260095578674724,0.547409624023747,0.724013898100084,72.161,63.017,60.617,52.153
"4732471J01Rik",10.8857795549511,-0.260145930149907,0.791590396848475,NA,11.454,12.253,11.302,8.534
"Aldh7a1",27.6523983710386,-0.260204434749271,0.67921124976505,0.816999274784009,33.217,27.132,24.658,25.602
"Foxo3",408.026235022428,-0.260219315707056,0.238650347960012,0.433556803530239,501.688,388.606,335.964,405.846
"Arsa",80.6779107342018,-0.260314210369279,0.501421767020583,0.689325153360806,76.742,98.902,75.001,72.066
"Pdia5",20.5178346592625,-0.260393359323072,0.734506208381851,0.852750378060484,30.926,14.004,14.384,22.758
"Mapk3",492.798631632157,-0.260499616576379,0.216363558919093,0.405278857819179,478.78,595.163,396.582,500.67
"Bco2",84.0084312899916,-0.260543004766998,0.48518675155763,0.677235933465249,93.923,89.274,76.029,76.807
"Trim17",28.5609926309567,-0.26066717545577,0.69090036067085,0.824708048201118,29.781,32.384,35.959,16.12
"Rnf38",1841.93945638275,-0.261102768074708,0.0706812513013954,0.185801988679451,1918.557,2097.073,1736.329,1615.799
"Cxx1a",7.58241006337144,-0.261239359717414,0.823633563978259,NA,6.872,9.628,7.192,6.638
"Dcun1d2",94.7005491318947,-0.261263636622107,0.467670574209954,0.663907132802573,91.633,114.656,85.275,87.238
"Tnrc6c",1043.91264032773,-0.26131122813139,0.105440184589805,0.247772997757345,1182.06,1094.924,889.74,1008.926
"Pak1",2287.37940406927,-0.261420911760114,0.0819948176316469,0.207051249278236,2446.589,2541.695,1875.03,2286.204
"Yipf6",396.534317495642,-0.261508340215434,0.194331666421606,0.377410351800871,442.127,422.741,364.732,356.538
"Atg4a",34.6559639097028,-0.262057572187121,0.672541973228044,0.811771275318039,30.926,44.637,18.493,44.567
"Lmtk2",1439.9349049147,-0.262218484463899,0.0821410226716141,0.20722722370787,1667.713,1473.903,1292.486,1325.638
"Mettl21d",27.581246554733,-0.262233994914986,0.676552071400232,0.814614714847028,28.635,31.509,23.631,26.551
"Mettl15",40.4697263505452,-0.262326561588626,0.619897974581068,0.77634159059384,40.089,48.138,32.877,40.774
"Thbs3",7.11035669554942,-0.262326988256715,0.830061009358135,NA,10.309,5.251,7.192,5.689
"Ndufb8",223.566145368202,-0.262378661895477,0.306314024032656,0.509266673956216,217.627,269.574,212.675,194.389
"Adi1",248.359622171937,-0.262385668350619,0.332073544417753,0.537319298980959,224.5,316.837,194.181,257.921
"Cenpt",57.9468644331449,-0.262851593126354,0.561263980513499,0.734054412761407,52.689,73.52,53.426,52.153
"Rnf139",329.060989568899,-0.263137770097815,0.233519986561312,0.427008451485994,344.768,372.852,323.635,274.989
"Nfia",69.0182825739746,-0.263387995808394,0.522243869161117,0.705156155381077,82.469,68.269,63.7,61.636
"Zc3h12b",12.5433496050906,-0.263401409987267,0.775333214256311,NA,16.036,11.378,12.329,10.431
"Panx1",135.744379212308,-0.263449765410067,0.39387112393784,0.598698291881378,154.63,141.789,110.961,135.598
"Zmynd11",878.760583101253,-0.263583297287082,0.112426190331575,0.258800025470028,936.943,980.268,849.671,748.16
"Isoc1",481.793281480247,-0.263682084287648,0.200027952109742,0.384869324621157,458.163,592.537,422.267,454.206
"Kdm4a",256.000536224594,-0.26371808850014,0.261932122138801,0.460471667909242,271.461,287.078,232.195,233.267
"Gm10863",8.33987412996238,-0.263840049069323,0.823654246608524,NA,10.309,7.877,12.329,2.845
"Prkdc",1050.88310496478,-0.263949992152326,0.091127174109342,0.223498908349905,1101.882,1191.201,956.522,953.928
"Cyth2",157.476477715326,-0.264099131388426,0.369685586539742,0.575485552376063,188.992,154.917,155.139,130.857
"Mir28b",2.77995804332079,-0.264146977091602,0.891254845841212,NA,3.436,2.626,4.11,0.948
"Sigmar1",88.8905341725822,-0.264308843897354,0.487185398513596,0.678700488897089,91.633,102.403,65.754,95.772
"Gm2518",16.2234136319599,-0.26447148979883,0.74703988006953,NA,20.617,14.879,12.329,17.068
"Pitpnm2",27.1407575314791,-0.264702819167079,0.683090799727334,0.819983068047824,36.653,22.756,22.603,26.551
"Prrg1",5.43299290954117,-0.264758385606062,0.846826271921549,NA,5.727,6.127,5.137,4.741
"Gm12060",2.65303486622037,-0.265343343358041,0.892713026223043,NA,2.291,3.501,1.027,3.793
"Gusb",438.264539632779,-0.265417949106574,0.184750611256623,0.36468720330594,449,507.639,380.143,416.277
"Fbxo17",3.80698720396976,-0.265746880988001,0.871399210397065,NA,5.727,2.626,3.082,3.793
"Cdk5",107.589504846772,-0.265946299593765,0.471457886798205,0.6673454303797,97.36,137.413,77.056,118.53
"Klhl26",26.5861200229986,-0.265998273775414,0.713669545114413,0.839615788686407,19.472,38.511,12.329,36.033
"Ints9",285.770259240785,-0.26600844777778,0.243872503435216,0.439359858591999,324.15,300.207,246.579,272.145
"Chtf18",32.0595038378238,-0.266097488058275,0.707455827526257,0.83520804049607,13.745,56.015,20.548,37.93
"Tmem134",226.415728167174,-0.266105590536777,0.337510669735787,0.542551281384149,193.574,300.207,201.373,210.509
"Prorsd1",167.709116231653,-0.266142481484109,0.342008387159455,0.546698665795836,183.265,182.925,163.359,141.288
"Adam15",68.9119565662894,-0.266152668895954,0.516391305651939,0.700571949170627,69.87,80.522,62.672,62.584
"Rfc2",223.051835750096,-0.266777424829379,0.303233271130021,0.506159136793549,211.9,274.825,204.455,201.027
"Ptpra",387.754425513291,-0.266850182826854,0.199049711887886,0.383615998733583,413.492,433.243,378.088,326.194
"Agps",1285.40725649406,-0.267034001910123,0.0821993136381162,0.207325998752436,1372.198,1435.392,1235.979,1098.06
"Dis3l2",179.881791448905,-0.267309563439457,0.358466898871105,0.563822314135126,168.375,224.061,183.907,143.184
"Glyctk",16.2036198960912,-0.267671340137977,0.745805307642714,NA,20.617,14.879,11.302,18.017
"Gprasp1",187.687493188318,-0.267681186811241,0.320131694671334,0.523944198273841,222.209,188.176,171.578,168.786
"Maged1",55.6448478536129,-0.267950440242739,0.617718654690378,0.775018550058206,87.051,35.01,36.987,63.532
"Sept3",89.0370504359234,-0.268116457063726,0.472842860606606,0.668446653915094,109.959,84.898,75.001,86.29
"Adsl",127.07287923227,-0.268310514280204,0.394919895888019,0.599455069935767,142.03,135.662,125.344,105.254
"Sypl",300.593754925046,-0.268318715394868,0.252032819344947,0.449279501721871,308.115,348.345,304.114,241.801
"Dock7",463.439906981014,-0.268557014007534,0.165431524744098,0.339352340002427,505.125,507.639,441.788,399.209
"Nudt3",281.719658460796,-0.268663291374053,0.239618989548543,0.434764414537376,294.37,321.213,248.634,262.662
"Pyroxd1",72.1248456548948,-0.268807173834222,0.51945786772073,0.703059355449609,69.87,87.524,77.056,54.05
"Cdc40",698.617817015863,-0.269056393723056,0.113299207791414,0.259925946210162,755.969,771.086,634.942,632.475
"Xrn1",821.154046322546,-0.269149537046355,0.132528213825064,0.290628770734759,869.364,925.128,830.15,659.974
"Kctd12b",48.2943497941366,-0.269170975526851,0.576707209172014,0.745199716441006,50.398,55.14,42.124,45.515
"Pigp",63.3997887132732,-0.269484635140894,0.529036404436434,0.710103455605482,64.143,74.395,53.426,61.636
"BC039771",195.839852617537,-0.269489611118411,0.341201764341595,0.545914232362316,199.301,228.437,209.592,146.029
"Spopl",176.343830405019,-0.269675773842673,0.359063021062562,0.564383300518098,190.138,195.178,191.099,128.96
"Gng11",8.26872231365678,-0.269772024716807,0.819118450784345,NA,5.727,12.253,11.302,3.793
"Atic",268.219427428187,-0.269773230209882,0.246544130044741,0.442700573640756,309.26,277.451,242.47,243.697
"2310030N02Rik",28.1924588575549,-0.269916339552063,0.688276706832328,0.823423695760862,30.926,30.633,36.987,14.224
"Pkp3",123.34507774164,-0.269948428663313,0.406595485989488,0.610721914112248,130.576,139.163,96.577,127.064
"Padi2",54.3094695607149,-0.270306624573206,0.576201297890638,0.7449562787981,74.451,44.637,43.151,54.998
"Ctxn1",3.23221767527405,-0.270501602097646,0.89024798702666,NA,0,7.002,3.082,2.845
"Clasp2",1342.07549897786,-0.270647258573939,0.0673566812329681,0.179722888619888,1437.486,1497.534,1194.882,1238.4
"Jrk",28.1414390614645,-0.270891668937707,0.696030270831657,0.826786528058004,14.89,46.388,25.685,25.602
"4931403G20Rik",30.2978752592897,-0.271072325029565,0.66782555893834,0.80918521555036,40.089,26.257,34.932,19.913
"Pdgfb",123.194412697513,-0.271337153356798,0.394582057702979,0.599290584873454,137.449,132.161,102.741,120.426
"Dock1",88.3006486879478,-0.271337251837048,0.458615231829132,0.656645361671291,95.069,98.027,84.248,75.859
"Mrpl23",61.488837458133,-0.271378949612115,0.536876969211416,0.715902044247572,57.27,77.021,58.563,53.101
"Tprgl",300.375907735501,-0.271428723931153,0.262615581925878,0.461237775454448,290.933,365.85,239.387,305.333
"Spag1",25.0075242667062,-0.271667925480122,0.683727146650174,0.820140878003104,32.071,22.756,20.548,24.654
"Igf1r",187.158468913529,-0.271738093682018,0.31022707686184,0.513239145333585,191.283,217.935,171.578,167.838
"Cysltr2",21.7753065914321,-0.271905387060554,0.711051741318384,0.837691115058357,32.071,15.754,17.466,21.809
"Hal",2.25654659506193,-0.271937965831263,0.904917927970622,NA,2.291,2.626,4.11,0
"Nlk",377.744085798126,-0.271943905500613,0.197859891378136,0.382070624474037,384.857,441.121,361.65,323.349
"Snora19",3.2835757557109,-0.272436183511671,0.876302872845436,NA,4.582,2.626,3.082,2.845
"Rab3gap2",605.15354588447,-0.272605537910219,0.125113003258975,0.279280684999893,644.864,679.186,558.913,537.651
"Slc39a10",349.127533225868,-0.27265851463686,0.232309145114031,0.425335331929116,335.604,427.992,288.703,344.211
"Rcor2",6.5671515114218,-0.272825018471965,0.828880186729333,NA,9.163,5.251,6.164,5.689
"4933439F18Rik",244.363186720684,-0.272921680745074,0.253406580043017,0.451060381466645,271.461,263.447,217.812,224.733
"Ap1s1",69.1703538355667,-0.273211198734799,0.505408056446679,0.692456140008932,69.87,81.397,64.727,60.687
"Pomt2",51.3803157056416,-0.273247970440025,0.569141848833145,0.740513289503898,49.253,63.017,53.426,39.826
"Prdm11",13.261226199944,-0.273299129866725,0.768758205483395,NA,19.472,9.628,15.411,8.534
"Apol7c",1453.87017972852,-0.273324333178132,0.158986387846768,0.330068903707176,1258.802,1922.025,1383.926,1250.727
"Solh",141.535816773453,-0.273357250613605,0.372599169154341,0.578261588652609,160.357,149.666,111.988,144.132
"Dok4",8.69677492938331,-0.273461037889669,0.802872418466907,NA,10.309,8.752,7.192,8.534
"Tesk2",63.8129260226891,-0.273704990170909,0.52643095687935,0.70833766685803,60.707,78.772,62.672,53.101
"Lzts1",5.41319917367241,-0.273828009444679,0.842271907799274,NA,5.727,6.127,4.11,5.689
"Obfc2b",189.257003905987,-0.274033106425025,0.324629344481251,0.528529010031075,182.12,231.938,156.167,186.803
"Epsti1",1255.15276695923,-0.274068075483686,0.0668112671360336,0.178619559941918,1406.56,1341.742,1136.32,1135.99
"Cdh1",41.4359050712133,-0.274417434854027,0.680398247637486,0.817766610459172,71.015,20.131,20.548,54.05
"Aasdhppt",112.975616806178,-0.274694438141334,0.402707456774426,0.607979937823174,124.849,122.533,106.851,97.669
"Mir1930",4.25924683592302,-0.274738298847489,0.863540136066754,NA,2.291,7.002,2.055,5.689
"Acaa2",108.299961098374,-0.274742023245707,0.427792747093667,0.628304071201861,111.104,126.034,83.221,112.84
"Zfp865",352.173161312168,-0.275038584046345,0.204816320155902,0.391042509032232,386.002,385.105,349.321,288.265
"Fanci",61.8308229512433,-0.275124676814243,0.557785082593,0.731661188513268,49.253,85.773,66.782,45.515
"Llgl2",40.9108181577177,-0.275298357712427,0.603332617925779,0.765507408056918,37.798,51.639,40.069,34.137
"Tram1",945.329200848906,-0.275325757934637,0.0872082676203016,0.216481934722898,1030.866,1039.784,812.684,897.982
"Pdzk1",31.3810140650799,-0.275344722098332,0.649395011253318,0.797065052901337,27.49,41.136,24.658,32.24
"Klf6",5659.55556921098,-0.275546747021627,0.731787540022825,0.850950453098676,9533.223,2863.783,5244.947,4996.27
"Zfhx3",485.22566937502,-0.275563660191114,0.146259468120537,0.311343843220629,544.068,519.017,427.404,450.413
"Tdrd3",174.657915327731,-0.275658466804502,0.334773895102686,0.539994878744401,213.046,169.796,172.605,143.184
"Smcr7",41.8380752054764,-0.275691918465672,0.599361067466248,0.762684664730989,51.543,40.261,32.877,42.671
"Nt5dc2",14.562233735009,-0.275782530875077,0.751405353131431,NA,12.599,19.255,10.274,16.12
"Scx",3.15665257861048,-0.275854099508845,0.88867166445953,NA,3.436,3.501,0,5.689
"A330040F15Rik",12.4326103170475,-0.276069437357821,0.76669585998284,NA,11.454,15.754,9.247,13.275
"Ccdc123",41.3388707734443,-0.276141472459077,0.594875487926344,0.759223439976277,42.38,48.138,35.959,38.878
"Sbk1",18.4007852835468,-0.276577939728436,0.722761567034167,0.844625248725042,22.908,17.505,12.329,20.861
"4930422G04Rik",181.966151553689,-0.276744947329437,0.348178979579362,0.553869812382934,162.648,235.439,181.852,147.925
