"Gene.name","baseMean","log2FoldChange","pvalue","padj"
"Cyba",1135.43408829212,0.88983968991235,2.06569906065418e-07,2.84805123326426e-06
"Cyp51",597.200270063999,0.888867030891265,6.75227568600064e-07,8.43683996614129e-06
"Aamp",310.659808628804,0.886322665997077,8.32792949574062e-05,0.000688149963595409
"Ctdnep1",591.013352862683,0.884437418505115,2.257777141096e-06,2.58820103380878e-05
"Acot7",657.466043530653,0.884009301929489,4.32805291187943e-06,4.68793588478057e-05
"Myl12a",1186.06832595682,0.882089220203065,1.0077150027418e-08,1.68726068387974e-07
"Arih2",999.949048940748,0.881711006916899,1.76895584711643e-08,2.86872734907369e-07
"Ahcyl2",1175.71863226892,0.881149403965642,8.54729182596454e-09,1.44902679735014e-07
"Rapgef2",802.712703654054,0.880788504602427,1.58213627089209e-07,2.25219776333538e-06
"Sp110",1279.24367901163,0.87914413996705,9.91293388609077e-09,1.66233456328206e-07
"Gngt2",1458.40713768724,0.877304187406121,1.05911449827294e-08,1.76785629580751e-07
"Rbm12",716.08216171291,0.871303294136565,8.29513014539286e-06,8.47746649670197e-05
"Pdia3",2209.46026516427,0.870457639472197,4.01633095930477e-08,6.20669233696842e-07
"Emp3",676.346509396951,0.867599487981028,8.39558005486668e-07,1.03234186985665e-05
"Chsy1",797.805602164636,0.86686400251926,2.06278399191105e-07,2.84805123326426e-06
"Nae1",371.946724433606,0.864695804029817,7.61412929126288e-05,0.000634491250863468
"Cltc",4466.53865921447,0.864219447076915,1.56417827453838e-11,3.73232230133795e-10
"Ctsd",644.457850354194,0.862476627409499,3.24345150448742e-05,0.000293046790226124
"Lrrc58",2812.07204633404,0.859259533155014,3.19414415636464e-10,6.5534400844504e-09
"Mrpl52",413.133458984773,0.85913037807734,3.76413311812807e-05,0.000336165326205123
"0610007L01Rik",542.949155762537,0.858976687088872,3.0576896394012e-06,3.40431159955121e-05
"AI848100",2241.87025077131,0.85752841198202,9.23519804222617e-09,1.55833178179807e-07
"Antxr2",810.697863622027,0.856938058552314,2.57254443215442e-06,2.91205578197793e-05
"Sbno1",4151.74176275948,0.854977428852543,3.99778650935908e-11,9.06025549286338e-10
"Arf6",2500.06599608846,0.852488414339286,2.81177482054069e-09,5.04303917730418e-08
"Hsp90ab1",9967.84363110102,0.851715177350196,6.8631804847797e-08,1.02691759933175e-06
"H2-Ab1",56249.8138135331,0.851552095131494,7.98938649991647e-11,1.74142905339226e-09
"Atp6v1g1",441.500715245212,0.851005341954913,1.4082147124892e-05,0.000137931193312798
"Cyth1",401.222522708918,0.849103789583242,3.51344974845504e-05,0.000316122932932006
"Txn1",618.761058021595,0.84887394273722,3.15262755806763e-06,3.49564118081337e-05
"Erbb2ip",3396.93604431957,0.846935602060586,1.18925239405128e-09,2.23666166402039e-08
"Sec23b",349.090369551937,0.843484380207438,8.15559936898433e-05,0.000674424488276391
"Csda",518.094081915794,0.841913093980414,4.90660100240349e-05,0.000427964642987415
"Cxcr4",1513.38439067417,0.840863758115619,7.37796977442998e-06,7.64106563732314e-05
"Aggf1",527.014974968346,0.83712494033734,1.01186417207603e-05,0.000101589662429098
"H2-Eb1",32588.8875644263,0.83660781680186,9.7625600155944e-12,2.35540785409653e-10
"Stip1",599.796735756773,0.835812176719584,1.02874020702063e-05,0.000102997621651151
"Fam49a",7533.65916693912,0.835487148393209,8.84599098241361e-10,1.70210693272623e-08
"Tap1",1866.42185943485,0.835451164956272,2.53164966162606e-09,4.5578648839445e-08
"Ube2z",568.540460177138,0.833716161717387,7.09422893075592e-06,7.38959442373836e-05
"Hipk3",1566.82968764424,0.829412472923119,5.8168475222671e-07,7.35284821571989e-06
"Pcbp1",819.198540487839,0.826759923400692,6.64747288486218e-07,8.33473075945741e-06
"Arih1",2304.97607538603,0.826379309921728,5.89884017133693e-09,1.01593220311753e-07
"Ptprj",4902.24378903999,0.820340202641882,1.09548727730095e-09,2.07472267045476e-08
"Nfkb1",4261.87834224172,0.820129761126093,8.04469625621807e-09,1.36810352501743e-07
"Tbl1x",674.546516578742,0.819910044923573,1.98808594295264e-06,2.29604850959551e-05
"Lcp2",5580.24740704649,0.818101362625987,9.74995111823451e-09,1.6398964708837e-07
"Il2rg",3972.52151359912,0.817560325812794,2.38674644455765e-10,4.9531847191366e-09
"Golph3",926.921499815309,0.816845126247377,7.26035266423338e-07,9.00932421668273e-06
"Hexa",838.031950603873,0.815829283335784,5.23821043985727e-06,5.57421745530194e-05
"Ifih1",1261.46224727416,0.814309227442912,7.2700729081232e-08,1.0848030277369e-06
"Rapgef6",2898.40957202489,0.814152698347611,1.03138416998382e-09,1.96017275674292e-08
"Jak1",3346.56824953489,0.813547672881336,1.45847101884079e-08,2.38664902524203e-07
"BC006779",2109.325287706,0.812071648623013,2.2859216344153e-08,3.64167486259132e-07
"Ticam2",802.798273393198,0.812012396905282,5.0481453196246e-06,5.39847564141098e-05
"Nfya",1329.92443791537,0.810064388405456,4.15897027072503e-08,6.39973365664265e-07
"Psme3",1285.15890549668,0.805890486145294,3.63736294050186e-07,4.80531130908008e-06
"Pkm2",1222.9382546426,0.805260305481595,1.6363258857608e-07,2.32019873304277e-06
"Myc",417.471153023514,0.804154105166164,9.81525174975948e-05,0.000790009874786384
"Hnrnpab",2664.35976391767,0.803523094408785,4.3250920875764e-09,7.64334789310198e-08
"Rars",550.65229767544,0.802925638161831,3.37392642511227e-05,0.000304327601692267
"Gigyf2",1163.26960879476,0.802253444786528,6.55299141174016e-06,6.88540794989148e-05
"Hdlbp",2004.15334870469,0.801789921034313,2.2290610575627e-08,3.55632083012912e-07
"Ubap2l",3052.96574975316,0.801211208607315,1.19316601989557e-09,2.24013301447638e-08
"2700078E11Rik",901.387932721088,0.801092863643282,5.78260527739505e-07,7.33195973260295e-06
"Vwa5a",1034.52426843917,0.799665916463788,5.06867154601592e-07,6.50060454712432e-06
"Fkbp1a",634.162002582578,0.798416925489758,1.29816078191401e-05,0.00012772911671639
"Eif3g",583.96250514995,0.798176398245904,1.63711409870511e-05,0.000158630206004226
"Edf1",714.071295160421,0.797709126459198,2.49364378866553e-05,0.000231479375857872
"Madd",1929.48279139612,0.79746830075671,3.40673785387587e-08,5.34083808553361e-07
"Nlrc5",1907.88577610051,0.796701005588031,3.67417539522301e-07,4.84803191917793e-06
"Prrc2c",9157.31653174277,0.796421714055678,3.23497648980749e-09,5.77339379144721e-08
"Ppig",879.920711635029,0.795315538613015,8.887814793317e-07,1.08915947574664e-05
"Actg1",5574.09148524599,0.794720520213081,1.69798698180055e-08,2.76190585192873e-07
"Ube2f",581.198733104187,0.794353516629464,1.13286843759331e-05,0.000112487294082936
"Atp1b3",698.394572876127,0.79188840304404,3.8854835309388e-06,4.25166091824849e-05
"Anxa5",1174.35432453915,0.79168695019682,2.72936058508453e-07,3.6866787055138e-06
"Hnrnpc",1703.33788590181,0.791504677875502,2.85374148214752e-08,4.49993907949114e-07
"Fnip1",978.902048236815,0.790407419351591,1.9218675170871e-05,0.000182788330224799
"Chd1",2250.25806316114,0.790283027821262,5.31305179144105e-08,8.09511815143191e-07
"Atox1",1261.62291852738,0.789485283734456,5.88189718471931e-07,7.42640934755994e-06
"Gtpbp4",1263.05294760956,0.788736279602977,3.12602978592418e-07,4.18594322261022e-06
"Gapdh",4776.60263114948,0.788333673346709,1.07409248941202e-08,1.79009906735391e-07
"Acbd3",501.108449850115,0.785273841301178,8.49851198417109e-05,0.000699577358089099
"Lgals3bp",868.909111053805,0.78493837057722,2.63527349044862e-06,2.97374142937811e-05
"P2ry10",1233.53498241546,0.783610314076629,2.28852823427431e-07,3.13678189758218e-06
"Mat2a",2151.72724918084,0.782736940848418,8.82323574098095e-07,1.08247013343201e-05
"Csf2rb2",1647.64939435541,0.782328119612353,2.65572366930001e-07,3.59169219844282e-06
"Tada1",538.622231268177,0.782160102602747,2.40903994479295e-05,0.000224202145377508
"Psmd12",665.140261756811,0.780040348003028,8.79943422032817e-06,8.93385856689926e-05
"Psmb2",692.036215624837,0.779740183825974,1.74102126939995e-05,0.000167797895119303
"Pdcd1lg2",664.081389068992,0.779128830375819,1.35234143363511e-05,0.000132939335304621
"Cln5",546.010443324225,0.779023770025359,0.000110925307849593,0.000880332498120616
"Vcp",1338.30533891683,0.778345468956088,1.97414352165447e-07,2.73827103330126e-06
"Snrpa",433.555431569089,0.777144325511236,8.55447822163356e-05,0.000703649677866031
"Larp7",412.910513322473,0.776314604610468,0.000106095868293453,0.000845722252555535
"C230081A13Rik",2394.06401109912,0.774271001121283,1.14415892933335e-08,1.90394372987223e-07
"Prr14",987.57751474382,0.773349056095044,1.15258310240046e-06,1.38424975036632e-05
"Ldha",1784.2555512426,0.773060290539321,5.7880375152113e-07,7.33195973260295e-06
"Syvn1",624.398595101973,0.772152431423522,6.69478013124404e-05,0.000567929155534587
"Psme1",3053.6686488014,0.771351617476133,1.38000584211307e-06,1.62849709015369e-05
"Il12rb2",1044.44785118389,0.770496502236367,1.69908040397596e-05,0.000164047575902598
"Edem1",2371.9184347969,0.769324737144821,3.70650223170987e-08,5.76076595066183e-07
"Gcnt2",824.458072139967,0.769121908349033,4.26644174985888e-06,4.62646281043255e-05
"Ywhaz",6914.93086676858,0.76872682269761,5.22595931987584e-08,7.97363624115703e-07
"Zfp263",1730.26356372876,0.768651942869226,1.5065337370555e-07,2.15023451561558e-06
"Snap23",1123.88482325464,0.767286569161436,8.47366743917448e-06,8.62737212110688e-05
"Efhd2",5238.73887946526,0.766271724058236,1.63699370560017e-08,2.66669967109272e-07
"Mtmr14",574.282624151735,0.762388500492519,2.83487309825395e-05,0.000258939125407968
"Eprs",1067.3866074212,0.761339913769962,5.15728361079833e-06,5.50974885165467e-05
"Mkrn1",1656.21070391205,0.760550536261428,2.75161234613036e-07,3.71210666819803e-06
"Mapk1ip1l",1274.57641918714,0.756729352271068,5.75424348886598e-07,7.30782177196779e-06
"Wdr1",2095.14359420611,0.755752687753051,3.90633114290743e-08,6.04532646730231e-07
"Picalm",3670.32304897867,0.754631720645332,1.29461135447216e-07,1.85755295403933e-06
"Aup1",783.214417891458,0.754272363415835,6.52816505203703e-05,0.000554228934237595
"H2-Aa",109006.693865719,0.753542930323342,2.37708241600865e-09,4.30617622284643e-08
"Lasp1",2006.90165692637,0.752987486434498,8.13547708174459e-08,1.20728250995259e-06
"Ssfa2",1366.55114498654,0.75216891707561,7.72716964001623e-06,7.94197615847209e-05
"Ranbp2",3933.98533574793,0.749487429329539,2.09118624209768e-07,2.87485032495485e-06
"Psd4",1479.0353469156,0.747399297279527,3.77219411873047e-07,4.96527082481253e-06
"Ube2h",612.229387386276,0.747332542440354,3.30488561443291e-05,0.000298348548842931
"Copb2",998.915564500204,0.746876544476885,7.71170385892532e-06,7.94114904027928e-05
"Cand1",1003.35196522799,0.746760973148929,3.00691854384054e-06,3.35468059582128e-05
"Akt2",514.615675243068,0.746438311058969,0.00010218973235571,0.000818802788912279
"Tollip",708.931578013111,0.745218802321647,1.79816507042808e-05,0.000172232733934106
"Tcerg1",1411.30635158331,0.744696076978411,1.84578565276726e-06,2.15235694041202e-05
"Zfp516",2532.78366328333,0.743097889718943,5.12479841697256e-08,7.83031611439545e-07
"Zfand3",594.626962463179,0.741086711421553,3.71587104085778e-05,0.000332128968528155
"Map3k1",3325.44283075476,0.740412588718929,3.23436419247064e-08,5.0853218137931e-07
"Havcr2",6078.87237260944,0.739826345772687,1.40351366570912e-07,2.01114597098239e-06
"Tuba1c",617.661692957259,0.739708425069604,7.88400780713688e-05,0.000654965157781548
"Sfpi1",3925.26724243205,0.738680784154877,5.87898889762734e-06,6.21337431492653e-05
"Rab10",1982.26726013028,0.73742630436925,2.59422369509474e-07,3.52358101457929e-06
"Parp14",2622.07473891182,0.734878226213475,4.14318341828384e-07,5.40760312894806e-06
"Atp6v1h",502.485344012321,0.730625128097146,9.81587087106501e-05,0.000790009874786384
"Snx20",836.588239285343,0.729298166493344,8.9722247472797e-06,9.10075942764803e-05
"Gnai3",1638.74474005505,0.728909154711518,4.54241006653944e-07,5.89316505997865e-06
"Gnb1",3130.40259004412,0.728641151204718,2.53749910272477e-07,3.4577016075242e-06
"Cnot6l",1348.022352315,0.727614061442353,1.30375378266313e-06,1.54694027684444e-05
"Nab1",857.035543774588,0.727398125136505,1.52903772079867e-05,0.000148957424724928
"Slc1a5",806.201698869195,0.726803222248579,9.75087531290044e-06,9.80791385929902e-05
"Zfc3h1",3873.57057028328,0.726706957839302,1.042657438891e-05,0.000104198413611681
"Fam105b",768.909861176419,0.725727187540903,4.32116989341037e-05,0.000382132518002568
"Asxl1",1119.68980298658,0.725325751899309,5.18826428488528e-06,5.53193572816557e-05
"Pcna",1235.56273612628,0.724193088236626,2.06793676148999e-06,2.38318712098096e-05
"Rbbp6",2677.26128490441,0.723763686700831,6.24541794318319e-08,9.42292654296706e-07
"Got2",893.314059736303,0.721872534413289,2.58528994250491e-05,0.000238759129984277
"Chd7",1489.67238558691,0.721738011039294,9.87925896158096e-06,9.9278304574032e-05
"Ube2d3",2091.87505741837,0.72170726392257,2.3800175254823e-07,3.25539518352901e-06
"Eif4g1",1631.84622859702,0.721372482106041,7.35630218105348e-07,9.11794296651629e-06
"Traf3",1111.07221357015,0.721042652202111,2.7068706543597e-06,3.04501867068314e-05
"Chtf8",682.061401936074,0.720618448312502,0.000100695432558168,0.000808623885027899
"B2m",37855.3860466975,0.720090083107538,2.52853798706488e-09,4.5578648839445e-08
"Mtmr12",1124.41095580181,0.719592808877156,2.92259177538672e-06,3.26733092907784e-05
"Sowahc",1094.20317172723,0.718479529831502,6.33907338102473e-06,6.66710504239232e-05
"Pom121",962.667245869547,0.718254178484507,9.47486212952331e-06,9.56581374176384e-05
"Ppp1r18",1040.25610016941,0.717798678456972,7.33195695679216e-06,7.60067844142866e-05
"Wapal",2570.92979729231,0.717069352807692,8.71368661599531e-08,1.28254574879181e-06
"Eif3d",612.195430605678,0.716763451857665,5.22909040047959e-05,0.00045244997051434
"Rc3h1",2472.96522008099,0.71611516630553,4.08888816197552e-07,5.34962867858463e-06
"Srsf3",4483.52017729621,0.715508914976854,2.1435316137909e-08,3.42996720416497e-07
"Hnrnpf",1427.56411396681,0.7141657879277,2.07476908977317e-06,2.3885200371427e-05
"Msn",9493.87672482401,0.713866611662238,1.80831015246023e-07,2.52441029402083e-06
"Kpna3",672.816528112987,0.71162646372255,8.57098403230884e-05,0.00070393836256256
"0610031J06Rik",685.078495553895,0.710260442909914,4.06970724051907e-05,0.000361666435902732
"Capzb",3933.94982436018,0.709877831263883,5.40108601218279e-08,8.20616616689708e-07
"Sar1a",878.973816822655,0.709535474098517,2.31518333879917e-05,0.000216583601979373
"Pfn1",8696.28233002975,0.70924123131656,3.88130000103764e-07,5.09649974681706e-06
"E430025E21Rik",719.244931211547,0.705568623401521,3.87680638611828e-05,0.000345657971858595
"Rap1b",2754.91372063617,0.7046152212132,2.29040384102973e-07,3.13678189758218e-06
"Runx3",2669.07914924961,0.704047704633495,2.43966422923351e-06,2.77323007295767e-05
"Ubr4",3671.35067479256,0.702194828588909,5.47626142495348e-07,6.9755038675304e-06
"Foxn2",1817.22757083115,0.702125820915345,1.0731580256063e-05,0.000107048995316694
"Purb",3104.545203165,0.702001039706225,8.33279511258552e-08,1.23150299392413e-06
"Hnrnph2",639.499393840856,0.701776543868191,9.25529307472211e-05,0.000754421293291682
"Poldip3",1384.53975353549,0.70048623635611,7.57378278566747e-06,7.81397989687007e-05
"Atp6v0b",868.427033562532,0.698494619654549,2.40524075252383e-05,0.000224041041032594
"Foxn3",1221.89447491319,0.695841408830014,1.45092813169987e-05,0.000141667169230696
